nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
1023,8/11/1993,day,Opus Consultancy Services,Piako River,Not Entered,,91,Piako R,1824237,5831713,15,66.3,Electric fishing - combination of nets and electric fishing,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,205,297,V1
1024,8/11/1993,day,Opus Consultancy Services,Piako River,Not Entered,,91,Piako R,1824341,5829413,18,69.2,Electric fishing - combination of nets and electric fishing,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,180,270,V1
1674,18/11/1992,9:00,Bioresearches,Lake Arapuni,Not Entered,,434.002,Waikato R,1834334,5768702,103,196,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V1
1675,18/11/1992,9:25,Bioresearches,Lake Arapuni,Not Entered,,434.002,Waikato R,1834138,5765801,103,198.8,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V1
1778,18/11/1992,10:40,Bioresearches,Lake Arapuni,Not Entered,,434.002,Waikato R,1833029,5772302,103,191.8,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V1
1780,19/11/1992,9:00,Bioresearches,Lake Arapuni,Not Entered,,434.002,Waikato R,1831523,5776202,103,187.4,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V1
1781,19/11/1992,10:50,Bioresearches,Mangare Stream,Not Entered,,434.32,Waikato R,1828521,5776998,110,187.2,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,4,FALSE,FALSE,,,V1
1782,19/11/1992,10:00,Bioresearches,Lake Arapuni,Not Entered,,434.002,Waikato R,1830322,5776600,103,186.5,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V1
1784,20/11/1992,10:30,Bioresearches,Lake Arapuni,Not Entered,,434.002,Waikato R,1828919,5777999,103,186,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V1
1785,19/11/1992,10:20,Bioresearches,Lake Arapuni,Not Entered,,434.002,Waikato R,1831019,5779302,111,183.4,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,400,V1
1789,24/11/1992,9:00,Bioresearches,Lake Karapiro,Not Entered,,434.002,Waikato R,1833397,5795213,53,165.7,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,3,FALSE,FALSE,,,V1
1790,24/11/1992,9:10,Bioresearches,Lake Karapiro,Not Entered,,434.002,Waikato R,1833401,5792812,53,168.2,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V1
1791,24/11/1992,9:55,Bioresearches,Lake Karapiro,Not Entered,,434.002,Waikato R,1833007,5788509,53,172.8,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V1
1793,24/11/1992,10:35,Bioresearches,Lake Karapiro,Not Entered,,434.002,Waikato R,1832913,5784007,53,177.7,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V1
1794,24/11/1992,10:15,Bioresearches,Lake Karapiro,Not Entered,,434.002,Waikato R,1833111,5785708,53,175.6,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,8,FALSE,FALSE,,,V1
1871,23/01/2001,13:00,NIWA,Lake Rotoroa,Not Entered,,434.001,Waikato R,1800057,5814370,35,123.3,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,663,FALSE,FALSE,70,355,V1
1872,23/01/2001,13:00,NIWA,Lake Rotoroa,Not Entered,,434.001,Waikato R,1800057,5814370,35,123.3,Fyke net - Fyke net including minifykes,Unknown,Ameiurus nebulosus,Catfish,862,FALSE,FALSE,60,340,V1
2351,1980-10,,NIWA,Whangamarino Swamp,Not Entered,,434.13,Waikato R,1789568,5866863,5,55.2,Electric fishing - Backpack,Unknown,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V1
