nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
26,7/12/1977,8:00,NIWA,Maitai River,Not Entered,,578,Maitai R,1626104,5430796,10,3.9,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
32,6/12/1977,11:00,NIWA,Gilbert Creek,Not Entered,,570.19,Motueka R,1587615,5396311,390,84.6,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
35,7/12/1977,14:30,NIWA,South Branch Riwaka River,Not Entered,,569.02,Riwaka R,1592417,5454689,90,10.6,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
36,7/12/1977,14:30,NIWA,North Branch Riwaka River,Not Entered,,569.01,Riwaka R,1591618,5457588,120,11.9,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
40,9/12/1977,9:00,NIWA,Kaihoka Lake,Not Entered,,980,Kaihoka L,1566527,5510664,55,4,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
44,10/12/1977,7:30,NIWA,Anatoki River,Not Entered,,529.02,Takaka R,1577423,5473782,60,13.1,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
47,11/12/1977,day,NIWA,Hope River tributary,Not Entered,,932.53,Buller R,1568721,5386417,380,143.7,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
54,15/10/1986,,Private Individuals,Mirror Creek tributary,Not Entered,,906.005,Hokitika R,1428436,5255878,30,14.4,Other net - Hand net,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
56,16/10/1986,night,Private Individuals,Rocky Creek tributary,Not Entered,,904.04,Totara R,1427536,5254478,30,8.9,Other net - Hand net,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
57,16/10/1986,night,Private Individuals,Gows Creek tributary,Not Entered,,904.01,Totara R,1424235,5250179,40,7.8,Other net - Hand net,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
68,19/02/1987,12:00,Private Individuals,Te Hihi Stream,Not Entered,,55,Hatea R,1717193,6044183,60,4.4,Other net - Hand net,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
76,20/07/1963,day,Unknown Institution,Kahuterawa Stream,Not Entered,,325.11,Manawatu R,1821489,5516792,150,83.4,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
83,16/03/1966,day,NIWA,Orangipuku River tributary,Not Entered,,914.067,Grey R,1471433,5275668,140,56.1,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
85,25/10/1966,day,NIWA,Duffers Creek tributary,Not Entered,,900,Duffers C,1408933,5233082,70,7.7,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
97,25/05/1965,day,NIWA,Moutere River tributary,Not Entered,,571,Moutere R,1600013,5431398,70,16.5,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
106,9/01/1962,,NIWA,Oreti River,Not Entered,,786,Oreti R,1229066,4932789,290,138,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
